Question ID,Response ID,Response value,Answer requirement,Human-friendly question label,KeepIt recommendation / notes
PSL_DATA_COLLECTION_COLLECTS_PERSONAL_DATA,,true,REQUIRED,Does your app collect or share any of the required user data types?,Yes for Firebase Cloud Sync and AdMob build; offline-only build requires a separate declaration
PSL_DATA_COLLECTION_ENCRYPTED_IN_TRANSIT,,true,MAYBE_REQUIRED,Is all of the user data collected by your app encrypted in transit?,Yes; Firebase Google Sign-In AdMob and link-preview network requests use HTTPS/TLS
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_OAUTH,true,MULTIPLE_CHOICE,Which account creation method does the app support? / OAuth,Google Sign-In via Firebase Auth; do not select username/password
PSL_ACM_SPECIFY,,Google Sign-In OAuth via Firebase Authentication,MAYBE_REQUIRED,Describe the method of account creation,Optional Cloud Sync account created through Google Sign-In
PSL_ACCOUNT_DELETION_URL,,https://keshab1997.github.io/keepit/delete-account.html,MAYBE_REQUIRED,Add a link users can use to request account and associated data deletion,Public deletion request page
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_YES,true,SINGLE_CHOICE,Do you provide a way for users to request data deletion? / Yes,Profile delete controls and public web request page
PSL_DATA_DELETION_URL,,https://keshab1997.github.io/keepit/delete-account.html,MAYBE_REQUIRED,Delete data URL,Use the same public deletion URL
PSL_DATA_COLLECTION_COMPLIES_FAMILY_POLICY,,false,OPTIONAL,Families policy commitment,KeepIt is not directed to children and is not opted into Designed for Families
PSL_INDEPENDENTLY_VALIDATED,,false,OPTIONAL,Independent MASA security review,Select Yes only if a valid review has actually been completed
PSL_UPI_BADGE_OPT_IN,,false,OPTIONAL,Show UPI badge,Not applicable
PSL_HAS_OUTSIDE_APP_ACCOUNTS,,true,OPTIONAL,Can users log in with accounts created outside the app?,Yes; Google accounts created outside KeepIt
PSL_OUTSIDE_APP_ACCOUNT_TYPES,PSL_OUTSIDE_APP_ACCOUNT_TYPE_OTHER,true,MULTIPLE_CHOICE,How are outside accounts created? / Other,Google account / OAuth identity provider
PSL_OUTSIDE_APP_ACCOUNT_TYPE_SPECIFY,,Google account through Google Sign-In OAuth,MAYBE_REQUIRED,Describe outside account creation,Google manages the external account
PSL_DATA_TYPES_PERSONAL,PSL_NAME,true,MULTIPLE_CHOICE,Personal info / Name,Collected for optional Firebase account management
PSL_DATA_TYPES_PERSONAL,PSL_EMAIL,true,MULTIPLE_CHOICE,Personal info / Email address,Collected for optional Firebase account management
PSL_DATA_TYPES_PERSONAL,PSL_USER_ACCOUNT,true,MULTIPLE_CHOICE,Personal info / User IDs,Firebase UID used for account and sync ownership
PSL_DATA_TYPES_PERSONAL,PSL_OTHER_PERSONAL,,MULTIPLE_CHOICE,Personal info / Other info,Do not select unless the binary collects additional personal info
PSL_DATA_TYPES_PHOTOS_AND_VIDEOS,PSL_PHOTOS,,MULTIPLE_CHOICE,Photos and videos / Photos,Profile photo URL may be retained; verify exact Firebase user profile fields before selecting
PSL_DATA_TYPES_LOCATION,PSL_APPROX_LOCATION,,MULTIPLE_CHOICE,Location / Approximate location,Do not select for current code; no location permission and privacy policy says no location access
PSL_DATA_TYPES_LOCATION,PSL_PRECISE_LOCATION,,MULTIPLE_CHOICE,Location / Precise location,Not collected
